,ID,Title,Summary,Accession,Date,Relevance,RelevanceConfidence,Justification
10,200270333,Methionine Restriction Reduces Lung Cancer Progression and Increases Chemotherapy Response,Methionine restriction sensitizes A549 cells with and without LKB1 to chemotherapy,GSE270333,2024/07/19,Relevant,3/3,"The study focuses on methionine restriction and its effects on lung cancer progression and response to chemotherapy, relevant for immunotherapy research.; This dataset presents findings on methionine restriction's effects on lung cancer progression and chemotherapy response, relevant to treatment strategies.; This dataset discusses the effects of methionine restriction on lung cancer progression and chemotherapy response, which could be relevant to strategies in lung cancer treatment, including immunotherapy."
11,200241235,A novel adjuvant formulation induces robust Th1/Th17 memory and mucosal recall responses in Non-Human Primates,"After clean drinking water, vaccination is the most impactful global health intervention. However, development of new vaccines against difficult-to-target diseases is hampered by the lack of diverse adjuvants for human use. Of particular interest, none of the currently available adjuvants induce Th17 cells. Here, we develop and test an improved liposomal adjuvant, termed CAF®10b, that incorporates a TLR-9 agonist. In a head-to-head study in non-human primates (NHPs), immunization with antigen adjuvanted with CAF®10b induced significantly increased antibody and cellular immune responses compared to previous CAF® adjuvants, already in clinical trials. This was not seen in the mouse model, demonstrating that adjuvant effects can be highly species specific. Importantly, intramuscular immunization of NHPs with CAF®10b induced robust Th17 responses that were observed in circulation half a year after vaccination. Furthermore, subsequent instillation of unadjuvanted antigen into the skin and lungs of these memory animals led to significant recall responses including transient local lung inflammation observed by Positron Emission Tomography-Computed Tomography (PET-CT), elevated antibody titers, and expanded systemic and local Th1 and Th17 responses, including >20% antigen-specific T cells in the bronchoalveolar lavage. Overall, CAF®10b demonstrated an adjuvant able to drive true memory antibody, Th1 and Th17 vaccine-responses across rodent and primate species, supporting its translational potential.",GSE241235,2024/07/24,Not Relevant,3/3,"The research is centered on adjuvant formulations in non-human primates, lacking direct application to lung cancer immunotherapies.; This study on vaccine adjuvant effects in non-human primates does not relate specifically to lung cancer or its immunotherapies.; This dataset explores vaccine adjuvants in non-human primates, which does not pertain to lung cancer specifically or immunotherapy for lung cancer."
12,200270740,Ceramide metabolism alterations contribute to Tumor Necrosis Factor-induced melanoma dedifferentiation and predict resistance to immune checkpoint inhibitors in advanced melanoma patients [A375],"Introduction: Advanced cutaneous melanoma is a skin cancer characterized by a poor prognosis and high metastatic potential. During metastatic spread, melanoma cells often undergo dedifferentiation toward an invasive phenotype, resulting in reduced expression of microphthalmia-associated transcription factor (MITF)-dependent melanoma antigens and facilitating immune escape. Tumor Necrosis Factor (TNF) is known to be a key factor in melanoma dedifferentiation. Interestingly, accumulating evidence suggests that TNF may play a role in melanoma progression and resistance to immunotherapies. Additionally, TNF has been identified as a potent regulator of sphingolipid (SL) metabolism, which could contribute to melanoma aggressiveness and the process of melanoma dedifferentiation. Methods: We conducted RNA sequencing and mass spectrometry analyses to investigate TNF-induced dedifferentiation in two melanoma cell lines. In vitro experiments were performed to manipulate sphingolipid metabolism using genetic or pharmacologic alterations in combination with TNF treatment, aiming to elucidate the potential involvement of this metabolism in TNF-induced dedifferentiation. Lastly, to evaluate the clinical significance of our findings, we performed unsupervised analysis of plasma sphingolipid levels in 48 patients receiving treatment with immune checkpoint inhibitors, either alone or in combination with anti-TNF therapy. Results: Herein, we demonstrate that TNF-induced melanoma cell dedifferentiation is associated with a global modulation of sphingolipid metabolism. Specifically, TNF decreases the expression and activity of acid ceramidase (AC), encoded by the ASAH1 gene, while increasing the expression of glucosylceramide synthase (GCS), encoded by the UGCG gene. Remarkably, knockdown of AC alone via RNA interference is enough to induce melanoma cell dedifferentiation. Furthermore, treatment with Eliglustat, a GCS inhibitor, inhibits TNF-induced melanoma cell dedifferentiation. Lastly, analysis of plasma samples from patients treated with immune checkpoint inhibitors, with or without anti-TNF therapy, revealed significant predictive sphingolipids. Notably, the top 8 predictive sphingolipids, including glycosphingolipids, were associated with a poor response to immunotherapy. Discussion: Our study highlights that ceramide metabolism alterations are causally involved in TNF-induced melanoma cell dedifferentiation and suggests that the evolution of specific ceramide metabolites in plasma may be considered as predictive biomarkers of resistance to immunotherapy.",GSE270740,2024/07/24,Not Relevant,3/3,"This dataset is similar to ID 200270741, focusing on melanoma and resistance mechanisms, which are not relevant to lung cancer.; This dataset is similar to ID 200270741, which focuses on melanoma and does not connect with lung cancer immunotherapy.; Similar to dataset 200270741, this dataset is focused on melanoma and does not provide insights into lung cancer or its immunotherapy."
13,200267322,Single-cell atlas of dura cells from non-tumor or leptomeningeal metastasis mice,We performed scRNA-seq on the cells isolated from the dura mater in non-tumor control mice and leptomeningeal metastasis (LM) mice with LLC-LeptoM cell inoculation for 7 or 12 days.,GSE267322,2024/07/24,Not Relevant,3/3,"The focus is on leptomeningeal metastasis in mice, which does not provide insights into lung cancer specifically.; The single-cell atlas study focuses on leptomeningeal metastasis, lacking direct relevance to lung cancer treatment.; This dataset involves scRNA-seq of cells from the dura mater, unrelated to lung cancer or immunotherapy, thus not relevant."
14,200235093,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy,This SuperSeries is composed of the SubSeries listed below.,GSE235093,2024/07/24,Not Relevant,3/3,This dataset is focused on Merkel cell carcinoma and does not pertain to lung cancer or its immunotherapy.; The focus on Merkel cell carcinoma does not provide relevant insights for lung cancer immunotherapies.; This dataset focuses on Merkel cell carcinoma and does not relate to lung cancer or its immunotherapies.
15,200272770,LSD1 inhibition improves efficacy of adoptive T cell therapy by enhancing CD8+ T cell responsiveness,"The lysine-specific histonedemethylase1A(LSD1) has been described to play a role in antitumor immunity; however, the role of LSD1 in shaping CD8+ T cell (CTL) differentiation and function is not understood. Here, we showed that pharmacological inhibition of LSD1 (LSD1i) in CTL elicited phenotypic and functional alterations of the CTL that led to robust antitumor immunity in the context of adoptive T cell therapy (ACT). In addition, the combination of anti-PDL1 therapy with LSD1i-based ACT resulted in a complete tumor eradication and long-lasting tumor-free survival. This study demonstrated that LSD1i together with anti-PDL1 therapy complement each other’s deficiencies and produce a better tumor response in a melanoma model, in which both immune and epigenetic therapy alone have shown limited efficacy. Collectively, these results set the translational potential of modulating LSD1 to improve antitumoral responses generated by ACT and anti-PDL1 therapy, which provide a strong rationale for a combination trial of LSD1i and immunotherapy.",GSE272770,2024/07/23,Not Relevant,3/3,"The study of LSD1 inhibition is conducted in the context of melanoma, which is not directly relevant to lung cancer.; This dataset involves adoptive T cell therapy in a melanoma context, not directly applicable to lung cancer immunotherapies.; This dataset discusses LSD1 inhibition in CTLs relating to melanoma models, which do not directly inform on lung cancer immunotherapy."
16,200272713,"The Impact of SIV-Induced Immunodeficiency on SARS-CoV-2 Disease, Viral Dynamics, and Antiviral Immune Response in a Nonhuman Primate Model of Coinfection","Abstract: The effects of immunodeficiency associated with chronic HIV infection on COVID-19 disease and viral persistence have not been directly addressed in a controlled setting. In this pilot study, we exposed two pigtail macaques (PTMs) chronically infected with SIVmac239, exhibiting from very low to no CD4 T cells across all compartments, to SARS-CoV-2. We monitored the disease progression, viral replication and evolution, and compared these outcomes with SIV-naïve PTMs infected with SARS-CoV-2. No overt signs of COVID-19 disease were observed in either animal, and the SARS-CoV-2 viral kinetics and evolution in the SIVmac239 PTMs were indistinguishable from those in the SIV-naïve PTMs in all sampled mucosal sites. However, the single-cell RNA sequencing of bronchoalveolar lavage cells revealed an infiltration of functionally inert monocytes after SARS-CoV-2 infection. Critically, neither of the SIV-infected PTMs mounted detectable anti-SARS-CoV-2 T-cell responses nor anti-SARS-CoV-2 binding or neutralizing antibodies. Thus, HIV-induced immunodeficiency alone may not be sufficient to drive the emergence of novel viral variants but may remove the ability of infected individuals to mount adaptive immune responses against SARS-CoV-2.",GSE272713,2024/07/23,Not Relevant,3/3,"This dataset investigates SIV-induced immunodeficiency in primates, unrelated to lung cancer immunotherapy.; The study of SIV-induced immunodeficiency and COVID-19 does not have a direct connection to lung cancer or immunotherapy.; This dataset is about the immunodeficiency effects on SARS-CoV-2 disease in a nonhuman primate model and is not relevant to lung cancer immunotherapy."
17,200269899,Identification of resistance mechanisms to small-molecule inhibition of YAP/TEAD-regulated transcription [RNA-seq],"The Hippo tumour suppressor pathway controls transcription by regulating nuclear abundance of YAP and TAZ, which activate transcription with the TEAD1-TEAD4 DNA-binding proteins. Recently, several small-molecule inhibitors of YAP and TEADs have been reported, with some now entering clinical trials for different cancers. Here, we investigated the cellular response to TEAD palmitoylation inhibitors, using genomic and genetic strategies. Genome-wide CRISPR/Cas9 screens revealed that mutations in genes from the Hippo, MAPK and JAK-STAT signaling pathways all modulate the cellular response to TEAD inhibition. Inhibition of TEAD palmitoylation strongly reduced YAP/TEAD target expression, whilst only mildly impacting YAP/TEAD genome binding. Additionally, expression of MAPK pathway genes was induced upon inhibition of TEAD palmitoylation, which coincided with YAP/TEAD redistribution to AP-1 transcription factor binding sites. Consistent with this, combined inhibition of TEAD and the MAPK protein MEK, synergistically blocked proliferation of several mesothelioma and lung cancer cell lines and more potently reduced the growth of patient-derived lung cancers in vivo. Collectively, we reveal mechanisms by which cells can overcome small-molecule inhibition of TEAD palmitoylation and potential strategies to enhance the anti-tumor activity of emerging Hippo pathway targeted therapies.",GSE269899,2024/07/08,Not Relevant,3/3,"This dataset focuses on resistance mechanisms in small-molecule inhibition, not specifically linked to lung cancer immunotherapy.; This dataset focuses on YAP/TEAD transcription regulation, lacking direct implications for lung cancer immunotherapy.; Focused on YAP/TEAD transcription regulation in cancer, this dataset does not specifically address lung cancer or its immunotherapy."
18,200246173,Comparison of the response of Col-0 and ate1 ate2 N-degron mutant to flg22,"Arabidopsis mutants of the N-degron pathway have been shown to be either susceptible or resistant to a wide range of pathogens. This includes mutants for the arginine-transferases (ate1-2 ate2-1) and for the downstream E3 ubiquitin ligase PRT6 (prt6). In addition, ate1-2 ate2-1 mutants have been shown to have dampened gene expression changes upon inoculation with Pseudomonas syringae AvrRpm1. Here, we tested whether ate1-2 ate2-1 mutants were impaired for pattern-triggered immunity (PTI) and determined gene expression changes of wild-type Col-0 and of ate1-2 ate2-1 mutant seedlings in the absence/pressence of flg22.",GSE246173,2024/07/24,Not Relevant,3/3,"The research involves Arabidopsis mutants and does not relate to lung cancer or immunotherapy.; The study examines pathogen response in Arabidopsis mutants, unrelated to lung cancer or immunotherapy.; This dataset is about Arabidopsis mutants and their response to pathogens, bearing no relevance to lung cancer immunotherapy."
19,200235090,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [scRNA_tissue],Merkel Cell Carcinoma (MCC) is an aggressie skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235090,2024/07/24,Not Relevant,3/3,"This dataset is about Merkel cell carcinoma and does not address lung cancer immunotherapy.; The focus on Merkel cell carcinoma and immune response does not link to lung cancer immunotherapies.; This dataset focuses on immune responses in Merkel cell carcinoma, not related to lung cancer or its immunotherapy."
20,200271368,RNA-seq of live cell 3-D models with engineered genetic sub-types of lung cancer,"An experimental system was designed to screen for targetable signaling pathways linked to early 3D invasion in molecular subtypes, TP53 and LKB1, of KRAS-driven lung adenocarcinoma (LUAD). Live-cell imaging of human bronchial epithelial cells during 3D invasion was combined with RNA transcriptome profiling shown here.",GSE271368,2024/07/25,Relevant,3/3,"This dataset focuses on lung cancer and explores genetic sub-types using RNA-seq, which is pertinent for understanding responses to immunotherapy. The study of signaling pathways linked to lung adenocarcinoma could provide insights into potential immunotherapy targets. Thus, it is directly relevant to the query.; This dataset focuses on lung cancer and utilizes RNA-seq to study genetic subtypes of KRAS-driven lung adenocarcinoma. The insights gained from the signaling pathways and cellular behavior during invasion can inform immunotherapy strategies. Its relevance to lung cancer makes it a valuable resource for exploring immunotherapy.; This dataset focuses on lung cancer models and includes RNA-seq data that can be valuable in identifying potential immunotherapeutic targets, particularly in KRAS-driven lung adenocarcinoma, which is relevant to exploring immunotherapies."
21,200235092,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy [bulkRNA-seq],Merkel Cell Carcinoma (MCC) is an aggressive skin cancer with limiterd treatment and low response rates to Immune Checkpoint Blockade (ICB) therapy. We compiled the largest sc database of MCC tumor samples and matched blood to identify tumor gener modules that Predict ICB response.,GSE235092,2024/07/24,Not Relevant,3/3,"This dataset centers on Merkel Cell Carcinoma (MCC), which is a different type of cancer than lung cancer. While it discusses immunotherapy efficacy, it does not relate to lung cancer specifically. Therefore, it is not relevant to the query.; Although this dataset studies immune responses and immunotherapy, it focuses on Merkel Cell Carcinoma, which is a skin cancer, not lung cancer. The findings may not be directly applicable to lung cancer immunotherapy research. Thus, it is not relevant to the query.; While this dataset deals with immune responses, it specifically focuses on Merkel cell carcinoma rather than lung cancer, making it less relevant for the specified query."
