,ID,Title,Summary,Accession,Date,Relevance,RelevanceConfidence,Justification
10,200271086,Personalized dendritic cell vaccine facilitates the preparation of neoantigen-reactive T cells for adoptive transfer (scTCR-Seq),"Adoptive cell transfer (ACT) using neoantigen-specific T cells is an effective immunotherapeutic strategy. However, the difficulty in identifying and screening neoantigen-specific T cells limits its widespread application. Here, we prepared neoantigen-reactive T cells (NRTs) after immunization with a tumor lysate-loaded dendritic cell (DC) vaccine (OCDC) for ACT. Our results demonstrated that the OCDC vaccine could induce a neoantigen-specific immune response, and it was feasible to prepare NRTs by loading immunogenic neoantigens onto DCs and coculturing them with spleen lymphocytes from mice immunized with the OCDC vaccine. We then transferred these NRTs back to the LL/2 tumor-bearing mice after OCDC vaccine immunization and found that OCDC vaccine and NRTs adoptive transfer combination treatment could induce a stronger antitumor response. Furthermore, we found that infused NRTs could migrate into the tumor microenvironment to exert antitumor effects. Our research provides a new and convenient method of preparing NRTs for ACT. The clinical translation of this approach has the potential to increase ACT efficacy.",GSE271086,2024/07/05,Relevant,3/3,"This dataset details the preparation of neoantigen-reactive T cells for adoptive transfer, a critical aspect of immunotherapy. Its findings are directly applicable to lung cancer treatment strategies.; This dataset discusses the preparation of neoantigen-reactive T cells for adoptive transfer, which is a significant immunotherapeutic strategy relevant to lung cancer.; This dataset describes a personalized dendritic cell vaccine strategy to prepare neoantigen-reactive T cells for adoptive transfer, which is a promising immunotherapeutic approach. The research directly relates to enhancing T cell responses against tumors, including lung cancer. Its focus on immunotherapy makes it highly relevant to the query."
11,200271482,"Andrographis paniculata standardized extract attenuates transcriptome, proteome, and metabolome changes caused by SARS-CoV-2 infection in golden hamster kidney","SARS-CoV-2 was the cause of the COVID-19 global pandemic that resulted in millions of deaths worldwide. SARS-CoV-2 infection is often accompanied by renal manifestations such as acute kidney injury and kidney fibrosis, however there is a lack of effective treatment options that also address renal involvement. In this study, golden hamsters were inoculated with Delta variant SARS- CoV-2, and given either vehicle or Andrographis paniculata (AP) standardized extract as treatment. Hamster kidney tissues were then subjected to transcriptomics, proteomics, and metabolomics analysis. Results showed that AP potentially ameliorates kidney fibrosis mediated by ECHS1-induced mTOR activation and LHX1-HDAC8 promotion. This was supported by observations of lipid metabolism alterations that may have been a result of mTOR activation in metabolomics study. Transcriptomics analysis revealed less enrichment of viral infection pathways in AP-treated groups. Overall, AP appears to attenuate SARS-CoV-2 infection and development of kidney fibrosis.",GSE271482,2024/07/09,Not Relevant,3/3,"This dataset discusses SARS-CoV-2 infection in a different context and does not pertain to lung cancer or its immunotherapy.; This dataset concerns SARS-CoV-2 and its effects on kidney tissues, unrelated to lung cancer or immunotherapy.; This dataset is focused on SARS-CoV-2 infection in a model unrelated to lung cancer. It does not provide insights or findings applicable to lung cancer or its immunotherapy. The relevance is limited as it addresses a different health concern."
12,200245248,CRISPR activation screens identify the SWI-SNF ATPases as suppressors of ferroptosis [NGS4183_ATAC],"Ferroptosis is an iron-dependent cell death mechanism characterized by an accumulation of toxic lipid peroxides and membrane rupture. The glutathione dependent enzyme, GPX4 (glutathione peroxidase 4), prevents ferroptosis by reducing these lipid peroxides into non-toxic lipid alcohols. Ferroptosis induction by GPX4 inhibition has emerged as a vulnerability of cancer cells, thus highlighting the need to identify ferroptosis regulators that may be exploited therapeutically. Through genome-wide screens and a series of genetic, genomic, and quantitative imaging approaches, we identify the SWI-SNF ATPases BRM and BRG1 as ferroptosis suppressors. Mechanistically, they directly bind to and catalytically increase chromatin accessibility at NRF2 target loci, thus boosting NRF2 transcriptional output. This primes cells to counter lipid peroxidation and confers resistance to GPX4 inhibition and ferroptosis. Importantly, we demonstrate that the BRM/BRG1-ferroptosis connection can be leveraged to enhance the paralog dependency of BRG1-mutant lung cancer cells on BRM, especially in lines that are less sensitive to BRM inhibition or degradation. Our data reveal ferroptosis induction as a potential avenue for broadening the efficacy of BRM degraders/inhibitors and define a specific genetic context for exploiting GPX4 dependency.",GSE245248,2024/07/01,Not Relevant,2/3,"Similar to ID 200245247, this dataset focuses on mechanisms of ferroptosis and does not address immunotherapy for lung cancer.; This dataset is similar to ID 200245247, focusing on ferroptosis and BRG1 mutant lung cancer cells without direct relevance to immunotherapy.; Similar to ID 200245247, this dataset identifies the SWI-SNF ATPases' role in ferroptosis suppression within lung cancer. The findings indicate potential therapeutic avenues for enhancing the efficacy of treatments targeting lung cancer cells. Thus, it is relevant to exploring immunotherapies for lung cancer."
13,200264734,Metabolic enzymes moonlight as selective autophagy receptors to protect plants against viral induced cellular damage,"RNA viruses co-opt host intracellular structures to create specialized replication sites and advance infection. The response of the host to this membrane disruption is poorly understood. In this study, we explore Arabidopsis thaliana's reaction to three distinct viruses that commandeer varying cellular compartments. Our findings reveal autophagy is significantly induced within systemically infected tissues, with autophagy disruption rendering plants highly sensitive to infection. Contrary to being an antiviral defense, quantitative analyses of viral RNA and proteomes establish autophagy as a critical component of the host's tolerance mechanism. Further analysis of mitochondrial hijacking by the Turnip Crinkle Virus has shown that despite perturbing mitochondrial integrity, the virus does not trigger a typical mitophagy response. Instead, viral infection activates a distinct selective autophagy mechanism, where oligomeric metabolic enzymes moonlight as selective autophagy receptors and degrade key executors of defense and cell death. Altogether, our study reveals an autophagy-regulated metabolic rheostats that gauges cellular integrity during viral infection.",GSE264734,2024/07/23,Not Relevant,3/3,"This dataset investigates plant responses to viral infections and is irrelevant to lung cancer or immunotherapy.; This dataset relates to plant responses to viral infections and is not relevant to lung cancer or immunotherapy.; This dataset explores plant responses to viral infections, which is unrelated to lung cancer or its treatment. The findings do not contribute to the understanding of cancer therapies or immunotherapy for lung cancer, making it irrelevant."
14,200247647,Cell state and transcription factor modulation during extended CD8+ T-cell expansion ex vivo,"Adoptive cell therapy is fast becoming a cornerstone of modern tumour immunotherapy. It relies on the relatively long-term (>2 week) ex vivo expansion of T cells either in the form of tumour-infiltrating cells, or bulk cells modified with the expression of heterologous signaling proteins, e.g., chimeric antigen receptors. However, relatively little is known about the developmental trajectories of T cells under these conditions at the systems level, and whether entire genetic pathways could be manipulated for clinical advantage. Using bulk RNA-seq analysis of T cells expanded and rested over a 17-day period, we provide a resource of how gene expression changes as cells transition through distinct cellular states over the course of activation and ex-vivo expansion. We also performed experiments to investigate the role of FOSL1 in T-cell function.",GSE247647,2024/07/22,Relevant,3/3,"This dataset explores the modulation of CD8+ T-cell states during ex vivo expansion, providing insights into T-cell therapy strategies for lung cancer immunotherapy.; This dataset provides insights into ex vivo T-cell expansion, which is central to developing effective immunotherapy approaches for lung cancer.; This dataset focuses on T-cell expansion and its implications for adoptive cell therapy in cancer immunotherapy. Understanding T-cell dynamics is critical for developing effective immunotherapies, particularly in lung cancer. This study contributes valuable insights that could enhance therapeutic strategies for lung cancer."
15,200233236,Pan-Cancer Single-Cell Dissection Reveals Phenotypically Distinct B Cell Subtypes,"Characterizing the compositional and phenotypic characteristics of tumor-infiltrating B cells (TIBs) is important for advancing our understanding of their role in cancer development. Here, we established a comprehensive resource of human B cells by integrating single-cell RNA-sequencing data of B cells from 649 patients across 19 major cancer types. We demonstrated substantial heterogeneity in their total abundance and subtype compositions and observed IgG-skewness of antibody-secreting cell isotypes. Moreover, we identified stress-response memory B cells and tumor-associated atypical B cells (TAABs), two tumor-enriched subpopulations shared in a pan-cancer manner and with prognostic potential. In particular, TAABs, characterized by a high clonal expansion level and proliferative capacity, as well as close interactions with activated CD4 T cells in tumors, are predictive of immunotherapy response. Our integrative resource depicts distinct clinically relevant TIB subsets, laying a foundation for further exploration of functional commonality and diversity of B cells in cancer.",GSE233236,2024/07/11,Not Relevant,3/3,"This dataset focuses on B-cell subtypes in various cancers and does not specifically address lung cancer or immunotherapy.; This dataset focuses on B cell subtypes in various cancers, not specifically lung cancer or immunotherapy.; This dataset provides insights into B cell subtypes across various cancer types but does not specifically address lung cancer immunotherapy. The broader focus on multiple cancer types makes it less relevant to the specific query about lung cancer. The findings do not contribute directly to lung cancer research."
16,200252382,ATACseq of TNBC cell lines treated with EZH2i (tazemetostat) and/or AKTi (ipatasertib),"Triple negative breast cancer (TNBC) is the most aggressive breast cancer subtype and has the highest rate of recurrence1. The predominant standard of care for advanced TNBC is systemic chemotherapy with or without immunotherapy, however responses are typically short-lived1,2. Thus, there is an urgent need to develop more effective treatments. PI3K pathway components represent plausible therapeutic targets, as approximately 70% of TNBCs have PIK3CA/AKT1/PTEN alterations3–6. However, unlike hormone receptor-positive tumors, it is still unclear if or how PI3K pathway inhibitors will be effective in triple-negative disease7. Here we identify a promising AKT inhibitor-based therapeutic combination for TNBC. Specifically, we show that AKT inhibitors potently synergize with agents that suppress the histone methyltransferase, EZH2, and promote robust tumor regression in multiple TNBC models in vivo. AKT and EZH2 inhibitors exert these effects by first cooperatively driving basal-like TNBC cells into a more differentiated, luminal-like state, which cannot be effectively induced by either agent alone. Once differentiated, these agents kill TNBCs by hijacking signals that normally drive mammary gland involution. Finally, using machine learning approach, we developed a classifier that can be used for patient selection. Together these findings identify a promising therapeutic strategy for this highly aggressive tumor type and illustrate how deregulated epigenetic enzymes can insulate tumors from oncogenic vulnerabilities. These studies also reveal how developmental tissue-specific cell death pathways may be co-opted for therapeutic benefit.",GSE252382,2024/07/08,Not Relevant,3/3,"This dataset pertains to triple-negative breast cancer and does not address lung cancer or its immunotherapy.; This dataset relates to triple negative breast cancer and does not focus on lung cancer or related immunotherapies.; This dataset investigates therapeutic options for triple-negative breast cancer, which does not pertain to lung cancer. While it discusses immunotherapy in a different cancer type, the specific focus on breast cancer limits its relevance to lung cancer research. The findings are not applicable to the query."
17,200271085,Personalized dendritic cell vaccine facilitates the preparation of neoantigen-reactive T cells for adoptive transfer (scRNA-Seq),"Adoptive cell transfer (ACT) using neoantigen-specific T cells is an effective immunotherapeutic strategy. However, the difficulty in identifying and screening neoantigen-specific T cells limits its widespread application. Here, we prepared neoantigen-reactive T cells (NRTs) after immunization with a tumor lysate-loaded dendritic cell (DC) vaccine (OCDC) for ACT. Our results demonstrated that the OCDC vaccine could induce a neoantigen-specific immune response, and it was feasible to prepare NRTs by loading immunogenic neoantigens onto DCs and coculturing them with spleen lymphocytes from mice immunized with the OCDC vaccine. We then transferred these NRTs back to the LL/2 tumor-bearing mice after OCDC vaccine immunization and found that OCDC vaccine and NRTs adoptive transfer combination treatment could induce a stronger antitumor response. Furthermore, we found that infused NRTs could migrate into the tumor microenvironment to exert antitumor effects. Our research provides a new and convenient method of preparing NRTs for ACT. The clinical translation of this approach has the potential to increase ACT efficacy.",GSE271085,2024/07/05,Relevant,3/3,"This dataset also discusses the preparation of neoantigen-reactive T cells for adoptive transfer, highlighting relevant immunotherapeutic strategies applicable to lung cancer.; This dataset also discusses the preparation of neoantigen-reactive T cells for adoptive transfer, which is highly relevant to immunotherapy for lung cancer.; This dataset discusses preparing neoantigen-reactive T cells for adoptive transfer, a promising immunotherapeutic strategy. The findings could directly apply to lung cancer immunotherapy by enhancing T-cell responses against lung tumors. This makes it highly relevant to the inquiry on immunotherapies for lung cancer."
18,200235093,Pre-existing skin-resident CD8 and γδ T cell circuits mediate immune response in Merkel cell carcinoma and Predict immunotherapy efficacy,This SuperSeries is composed of the SubSeries listed below.,GSE235093,2024/07/24,Not Relevant,3/3,"Although this dataset details immune responses, it is focused on Merkel cell carcinoma rather than lung cancer, making it irrelevant to the query.; This dataset is about Merkel cell carcinoma immune responses which are not relevant to lung cancer immunotherapy.; This dataset is a SuperSeries focusing on Merkel cell carcinoma and its immune responses, which does not directly relate to lung cancer. The specific cancer context renders the findings less applicable to the exploration of lung cancer immunotherapies."
19,200272713,"The Impact of SIV-Induced Immunodeficiency on SARS-CoV-2 Disease, Viral Dynamics, and Antiviral Immune Response in a Nonhuman Primate Model of Coinfection","Abstract: The effects of immunodeficiency associated with chronic HIV infection on COVID-19 disease and viral persistence have not been directly addressed in a controlled setting. In this pilot study, we exposed two pigtail macaques (PTMs) chronically infected with SIVmac239, exhibiting from very low to no CD4 T cells across all compartments, to SARS-CoV-2. We monitored the disease progression, viral replication and evolution, and compared these outcomes with SIV-naïve PTMs infected with SARS-CoV-2. No overt signs of COVID-19 disease were observed in either animal, and the SARS-CoV-2 viral kinetics and evolution in the SIVmac239 PTMs were indistinguishable from those in the SIV-naïve PTMs in all sampled mucosal sites. However, the single-cell RNA sequencing of bronchoalveolar lavage cells revealed an infiltration of functionally inert monocytes after SARS-CoV-2 infection. Critically, neither of the SIV-infected PTMs mounted detectable anti-SARS-CoV-2 T-cell responses nor anti-SARS-CoV-2 binding or neutralizing antibodies. Thus, HIV-induced immunodeficiency alone may not be sufficient to drive the emergence of novel viral variants but may remove the ability of infected individuals to mount adaptive immune responses against SARS-CoV-2.",GSE272713,2024/07/23,Not Relevant,3/3,"This dataset investigates the immunodeficiency impact on SARS-CoV-2 infection and does not pertain to lung cancer or immunotherapy.; This dataset focuses on HIV/SIV and its effects on SARS-CoV-2 responses, which do not pertain to lung cancer or its immunotherapies.; This dataset examines the effects of SIV-induced immunodeficiency on COVID-19 in a nonhuman primate model. The focus is not on lung cancer but on immunodeficiency and viral responses, making it irrelevant to the specific question about immunotherapies for lung cancer."
