GSM,SRX,SRR,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1.0.strain,characteristics_ch1.1.cell type,molecule_ch1,extract_protocol_ch1,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3023993,SRX3744079,SRR6784365,MP replicate3,GSM3023993,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610808,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744079",NONE,"GSE111143,GSE111149",0
GSM3023993,SRX3744079,SRR6784366,MP replicate3,GSM3023993,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127+ KLRG1- CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610808,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744079",NONE,"GSE111143,GSE111149",0
GSM3023994,SRX3744080,SRR6784367,TE replicate1,GSM3023994,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610802,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744080",NONE,"GSE111143,GSE111149",0
GSM3023994,SRX3744080,SRR6784368,TE replicate1,GSM3023994,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610802,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744080",NONE,"GSE111143,GSE111149",0
GSM3023994,SRX3744080,SRR6784369,TE replicate1,GSM3023994,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610802,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744080",NONE,"GSE111143,GSE111149",0
GSM3023994,SRX3744080,SRR6784370,TE replicate1,GSM3023994,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610802,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744080",NONE,"GSE111143,GSE111149",0
GSM3023995,SRX3744081,SRR6784371,TE replicate2,GSM3023995,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610807,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744081",NONE,"GSE111143,GSE111149",0
GSM3023995,SRX3744081,SRR6784372,TE replicate2,GSM3023995,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610807,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744081",NONE,"GSE111143,GSE111149",0
GSM3023995,SRX3744081,SRR6784373,TE replicate2,GSM3023995,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610807,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744081",NONE,"GSE111143,GSE111149",0
GSM3023995,SRX3744081,SRR6784374,TE replicate2,GSM3023995,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610807,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744081",NONE,"GSE111143,GSE111149",0
GSM3023996,SRX3744082,SRR6784375,TE replicate3,GSM3023996,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610806,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744082",NONE,"GSE111143,GSE111149",0
GSM3023996,SRX3744082,SRR6784376,TE replicate3,GSM3023996,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610806,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744082",NONE,"GSE111143,GSE111149",0
GSM3023996,SRX3744082,SRR6784377,TE replicate3,GSM3023996,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610806,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744082",NONE,"GSE111143,GSE111149",0
GSM3023996,SRX3744082,SRR6784378,TE replicate3,GSM3023996,Public on Apr 19 2018,Feb 26 2018,Apr 19 2018,SRA,1,Sorted Day 8 Post LCMV-Arm Infection CD8+ T cells,Mus musculus,10090,C57BL/6,Flow Sorted CD127- KLRG1+ CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610806,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744082",NONE,"GSE111143,GSE111149",0
GSM3023997,SRX3744083,SRR6784379,Naive replicate1,GSM3023997,Public on Apr 19 2018,Feb 26 2018,Apr 20 2018,SRA,1,Naïve CD8+ T cells,Mus musculus,10090,C57BL/6,Naive CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610805,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744083",NONE,"GSE111143,GSE111149",0
GSM3023997,SRX3744083,SRR6784380,Naive replicate1,GSM3023997,Public on Apr 19 2018,Feb 26 2018,Apr 20 2018,SRA,1,Naïve CD8+ T cells,Mus musculus,10090,C57BL/6,Naive CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610805,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744083",NONE,"GSE111143,GSE111149",0
GSM3023997,SRX3744083,SRR6784381,Naive replicate1,GSM3023997,Public on Apr 19 2018,Feb 26 2018,Apr 20 2018,SRA,1,Naïve CD8+ T cells,Mus musculus,10090,C57BL/6,Naive CD8+ T cells,total RNA,"oligo(dT) priming and SMART-Seq v5 ultra low input RNA KIT,Strand specific paired end libraries were made using the TruSeq stranded total RNA kit. Samples were DNAseI treated.",WT_RNA-Seq,"Bowtie2,HT-Seq Count,DESEQ2,Genome_build: UCSC mm9,Supplementary_files_format_and_content: HT-Seq Count raw conuts",GPL19057,"Adam,,Getzler",agetzler@scripps.edu,TSRI-FL,130 Scripps Way,Jupiter,FL,33458-5284,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08610805,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3744083",NONE,"GSE111143,GSE111149",0
